,原始粒细胞,早幼粒细胞,中性中幼粒细胞,中性晚幼粒细胞,中性杆状核粒细胞,中性分叶核粒细胞,嗜酸性中幼粒细胞,嗜酸性晚幼粒细胞,嗜酸性杆状核粒细胞,嗜酸性分叶核粒细胞,嗜碱性粒细胞,原始红细胞,早幼红细胞,中幼红细胞,晚幼红细胞,早巨幼红细胞,中巨幼红细胞,晚巨幼红细胞,原始淋巴细胞,幼稚淋巴细胞,成熟淋巴细胞,反应性异型淋巴细胞,原始单核细胞,幼稚单核细胞,单核细胞,原始浆细胞,幼稚浆细胞,成熟浆细胞,组织细胞,破碎细胞及杂质,吞噬细胞,肥大细胞,成熟红细胞,分裂相,血小板
原始粒细胞,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
早幼粒细胞,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
中性中幼粒细胞,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
中性晚幼粒细胞,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
中性杆状核粒细胞,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
中性分叶核粒细胞,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
嗜酸性中幼粒细胞,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
嗜酸性晚幼粒细胞,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
嗜酸性杆状核粒细胞,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
嗜酸性分叶核粒细胞,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
